,Name,AddressLine1,AddressLine2,AddressLine3,City,State,ZipCode,DesignatorCode,CertificateHoldingOffice,CertificateNumber,AccessoryRatingClass1,AccessoryRatingClass2,AccessoryRatingClass3,AccessoryRatingLimited,AirframeRatingClass1,AirframeRatingClass2,AirframeRatingClass3,AirframeRatingClass4,AirframeRatingLimited,InstrumentRatingClass1,InstrumentRatingClass2,InstrumentRatingClass3,InstrumentRatingClass4,InstrumentRatingLimited,PowerplantRatingClass1,PowerplantRatingClass2,PowerplantRatingClass3,PowerplantRatingLimited,PropellerRating1,PropellerRating2,PropellerRatingLimited,RadioRatingClass1,RadioRatingClass2,RadioRatingClass3,RadioRatingLimited,LimitedRatingEquipment,LimitedRatingAircraftFabric,LimitedRatingNonDestructiveTst,LimitedRatingFloats,LimitedRatingSpecializedServic,LimitedRatingRotorBlades,LimitedRatingLandingGear,Status,Original_Issue_Date,EASA_Certificate_Number,EASA_Expiration_Date,Certificated_Mechanics,Repairmen,Non_Certificated,Total_Employees
677,FSH MAINTENANCE LLC                               ,1244 Clyde Jones Road              ,                                   ,                                   ,SARASOTA              ,FL,34243,6FSR,SO35,6FSR721B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 15-MAR-2013, , , 2, 0, 1, 6
678,FULL STOP TECHNICS LLC                            ,3225 Gateway Rd                    ,Suite 600                          ,                                   ,Brookfield            ,WI,53045,6FUR,GL13,6FUR289D,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 12-JUL-2018,  6843        ,  18-SEP-2020, 0, 2, 2, 8
679,FLIGHT LEVEL COMPONENTS LLC                       ,2460 Green Tree Road               ,                                   ,                                   ,Lebanon               ,OH,45036,6FVR,GL05,6FVR283D,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 7-DEC-2017, , , 1, 0, 0, 2
680,FLORIDA AERO SYSTEMS INC                          ,8364 NW 70TH STREET                ,                                   ,                                   ,MIAMI                 ,FL,33166,6FYR,SO19,6FYR239D,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N, ACTIVE            , 12-MAY-2017, , , 1, 0, 2, 6
681,GREEN MOUNTAIN AVIONICS                           ,561 AIRPORT ROAD                   ,                                   ,                                   ,MIDDLEBURY            ,VT,5753,6GAR,EA65,6GAR848B,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 19-JAN-2012, , , 2, 0, 1, 4
682,AGUSTAWESTLAND PHILADELPHIA CORPORATION           ,1036 QCP Park Drive                ,                                   ,                                   ,Broussard             ,LA,70518,6GWR,SW03,6GWR622D,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N, ACTIVE            , 25-JUN-2019,  6901        ,  15-OCT-2021, 0, 6, 0, 7
683,HARPER ENGINEERING COMPANY                        ,700 S.W. 7th Street                ,                                   ,                                   ,Renton                ,WA,98057,6HER,NM01,6HER880C,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 1-SEP-2016, , , 0, 4, 2, 95
684,"HORIZON TECHNICAL SERVICES, INC.                  ",9100 Republic Airport              ,Route 109                          ,                                   ,Farmingdale           ,NY,11735,6HNR,EA11,6HNR927C,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 22-NOV-2016, , , 2, 0, 1, 3
685,HPL-MX LLC                                        ,638 Supreme Drive                  ,                                   ,                                   ,Bensenville           ,IL,60106,6HXR,GL03,6HXR581D,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 11-JUL-2019, , , 3, 0, 0, 5
686,HORIZON AEROSPACE TECHNOLOGIES LLC                ,1800 NW 129th Ave.                 ,Suite 100                          ,                                   ,Miami                 ,FL,33182,6HZR,SO19,6HZR767D,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 2-DEC-2019, , , 2, 2, 3, 10
687,CITADEL COMPLETIONS LLC                           ,3900 Chennault Parkway             ,                                   ,                                   ,Lake Charles          ,LA,70615,6IDR,SW03,6IDR503D,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 30-NOV-2018,  6866        ,  2-MAY-2021, 38, 0, 110, 148
688,SKY BROKER AVIATION LLC                           ,4251 Tarmac Way                    ,                                   ,                                   ,Sanford               ,FL,32773,6KBR,SO15,6KBR436D,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 25-JUN-2019, , , 1, 1, 0, 1
689,"BMV AIR CENTER, LLC                               ",701-2 NE 10th Street               ,                                   ,                                   ,Pompano Beach         ,FL,33060,6KFR,SO19,6KFR481C,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 27-OCT-2015, , , 2, 0, 3, 5
690,KING AEROSPACE INC                                ,3890 Aberdeen Dr                   ,Hangar 481                         ,Kirtland Air Force Base            ,Albuquerque           ,NM,87117,6KGR,SW01,6KGR631D,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 14-MAY-2019, , , 9, 0, 0, 17
691,MERJEN AVIATION SOLUTIONS INC                     ,2049 NW 135TH AVE                  ,                                   ,                                   ,MIAMI                 ,FL,33182,6KMR,SO19,6KMR173C,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 25-FEB-2014, , , 0, 2, 1, 3
692,SOUTHERN SKY AVIATION MAINTENANCE LLC             ,Atlantic Aviation East (Hangar 14) ,4725 65th Place North              ,                                   ,Birmingham            ,AL,35206,6KYR,SO09,6KYR204D,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 21-NOV-2017, , , 18, 3, 6, 51
693,AIRCRAFT PROFESSIONAL MAINTENANCE LLC             ,600 South EE Kirby Road            ,East Kansas City Airport           ,                                   ,Grain Valley          ,MO,64029,6L4R,CE05,6L4R864C,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 6-OCT-2016, , , 2, 0, 1, 3
694,NULTON AVIATION INC                               ,469 AIRPORT ROAD                   ,Johnstown Cambria County Airport   ,                                   ,JOHNSTOWN             ,PA,15904,6L9R,EA03,6L9R861C,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 22-SEP-2016, , , 4, 0, 0, 4
695,MID AMERICA AEROSPORT                             ,1601 WEST EDGEWATER PLACE          ,                                   ,                                   ,BROKEN ARROW          ,OK,74012,6MOR,SW15,6MOR837B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 24-MAY-2011, , , 0, 1, 0, 1
696,MID PACIFIC AERO SERVICES                         ,Hangar 421-125                     ,Lagoon Drive                       ,                                   ,Honolulu              ,HI,96819,6MPR,WP13,6MPR921C,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N, ACTIVE            , 10-FEB-2017, , , 6, 0, 2, 8
697,SAFRAN LANDING SYSTEMS WHEEL & BRAKE SERVICES LLC ,181 MIKRON ROAD                    ,                                   ,                                   ,BETHLEHEM             ,PA,18020,6MWR,EA05,6MWR533C,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N, ACTIVE            , 29-DEC-2014,  6636        ,  24-JUN-2021, 3, 3, 15, 25
698,MAINE AERO SERVICES INC                           ,154 MAINE AVENUE                   ,                                   ,                                   ,BANGOR                ,ME,4401,6MXR,EA65,6MXR656B,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N, ACTIVE            , 28-SEP-2010, ,  1-AUG-2017, 5, 0, 1, 8
699,MYRTLE AIR SERVICES INC                           ,1114 Airdrome Ave                  ,Hangar 358                         ,                                   ,Myrtle Beach          ,SC,29577,6MYR,SO13,6MYR388D,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 2-MAY-2018, , , 17, 0, 1, 24
700,NDI CONSULTANTS INC                               ,"14608 FELTON COURT, SUITE 101      ",                                   ,                                   ,APPLE VALLEY          ,MN,55124,6NDR,GL15,6NDR159C,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N, ACTIVE            , 6-JUN-2013, , , 4, 1, 0, 6
701,MAG DS                                            ,7065 CHALLENGER AVE                ,                                   ,                                   ,TITUSVILLE            ,FL,32780,6NOR,SO15,6NOR509D,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 16-APR-2015, , , 13, 0, 4, 74
702,DIAMOND AEROSPACE INTERIORS LLC                   ,2050 Steves                        ,                                   ,                                   ,San Antonio           ,TX,78210,6ONR,SW17,6ONR698D,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 9-OCT-2019, , , 1, 0, 0, 1
703,PUERTO RICO HELI-SERVICES CORPORATION             ,URB. VILLA CAROLINA                ,115-A4 STREET 73C                  ,PO BOX 1735                        ,"CAROLINA, PR          ",PR,985,6P3R,SO63,6P3R158C,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 20-DEC-2014, , , 1, 0, 3, 4
704,PRECISE FLIGHT INC                                ,63354 POWELL BUTTE ROAD            ,                                   ,                                   ,BEND                  ,OR,97701,6PCR,NM09,6PCR620B,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 12-JUL-2010,  6407        ,  15-MAY-2022, 0, 5, 2, 11
705,PG AEROTECH LLC                                   ,175 COMMERCE DRIVE SUITE D         ,                                   ,                                   ,HAUPPAUGE             ,NY,11788,6PGR,EA11,6PGR579B,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 13-APR-2010,  6289        ,  1-SEP-2020, 1, 2, 2, 5
706,PEMCO WORLD AIR SERVICES                          ,4102 N. WESTSHORE BLVD             ,                                   ,                                   ,TAMPA                 ,FL,33614,6PMR,SO35,6PMR677B,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 17-AUG-2012,  6540        ,  14-MAR-2022, 298, 6, 176, 592
707,PRECISION TURBINES INC                            ,3300 AIRPORT ROAD                  ,"HANGAR 4, SUITE 108                ",                                   ,BOCA RATON            ,FL,33431,6PUR,SO19,6PUR038C,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 7-FEB-2013, , , 3, 0, 2, 5
708,PAPPYS AVIATION                                   ,100 Airport Rd.                    ,Hangar B-17                        ,                                   ,Carthage              ,MS,39051,6PYR,SW31,6PYR653D,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N, ACTIVE            , 7-NOV-2019, , , 1, 0, 0, 1
709,AGC ACQUISITION LLC                               ,106 EVANSVILLE AVENUE              ,                                   ,                                   ,MERIDEN               ,CT,6451,6QAR,EA63,6QAR211C,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N, ACTIVE            , 24-JUL-2013,  6508        ,  13-AUG-2021, 0, 4, 3, 15
710,"IMPERIAL AIR SERVICES, INC.                       ",7295 NW 64TH STREET                ,                                   ,                                   ,MIAMI                 ,FL,33166,6RAR,SO19,6RAR234C,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 10-DEC-2014,  6830        ,  8-AUG-2020, 1, 1, 2, 4
711,ACCESSORY AERO GROUP LLC                          ,1112 Anne Street                   ,                                   ,                                   ,Griffin               ,GA,30224,6RGR,SO11,6RGR120D,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N, ACTIVE            , 19-MAY-2017,  6765        ,  29-JUN-2021, 0, 3, 7, 10
712,REAL-TIME LABORATORIES LLC                        ,"990 S ROGERS CIRCLE, SUITE 5       ",                                   ,                                   ,BOCA RATON            ,FL,33487,6RLR,SO19,6RLR164C,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 12-SEP-2014, , , 0, 3, 2, 5
713,ROYAL TECHNICAL GROUP                             ,187 MC GREW DRIVE                  ,                                   ,                                   ,BURLINGTON            ,NC,27215,6RYR,EA39,6RYR210C,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y, ACTIVE            , 18-JUN-2013,  6602        ,  27-MAR-2021, 0, 2, 2, 5
714,SOUTHLAND ROTAX SERVICE CENTER INC                ,37600 SKY CANYON DRIVE             ,"Building 81, Room 106              ",                                   ,MURRIETA              ,CA,92563,6SDR,WP21,6SDR019C,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 13-FEB-2013, , , 0, 3, 0, 3
715,TRIANGLE BALLOON SERVICES                         ,850 MEACHAM ROAD                   ,                                   ,                                   ,STATESVILLE           ,NC,28677,6T8R,EA68,6T8R838B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 19-MAY-2011, , , 0, 3, 4, 7
716,TURBINE CONTROLS LLC                              ,3501 ENTERPRISE WAY                ,                                   ,                                   ,MIRAMAR               ,FL,33025,6T9R,SO19,6T9R165C,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N, ACTIVE            , 28-FEB-2013,  6475        ,  11-MAR-2021, 3, 10, 27, 55
717,AVIATION TECHNICAL TESTING INC                    ,245 MARIE AVENUE EAST              ,SUITE 114                          ,                                   ,WEST ST. PAUL         ,MN,55118,6TAR,GL15,6TAR186C,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N, ACTIVE            , 10-MAY-2013, , , 5, 1, 0, 6
718,TRADEWINDS FLIGHT CENTER LLC                      ,1 ST PLACE HENRY E. ROHLSEN AIRPORT,                                   ,                                   ,KINGSHILL             ,VI,850,6TDR,SO63,6TDR745C,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 22-SEP-2016, , , 6, 0, 1, 10
719,THIELSCH ENGINEERING INC                          ,195 FRANCES AVENUE                 ,                                   ,                                   ,CRANSTON              ,RI,2910,6TER,EA61,6TER519B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N, ACTIVE            , 26-APR-2010, , , 0, 3, 0, 3
720,TURBINE TECHNOLOGIES INC                          ,126 HYDE ROAD                      ,                                   ,                                   ,FARMINGTON            ,CT,6032,6TUR,EA63,6TUR715B,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 4-AUG-2011, , , 2, 2, 40, 65
721,UNITED COUNTY INDUSTRIES CORPORATION              ,32 HOWE AVENUE                     ,                                   ,                                   ,MILLBURY              ,MA,1527,6UCR,EA63,6UCR808B,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 22-NOV-2011, , , 0, 3, 8, 11
722,AVOCET AVIATION SERVICES LLC                      ,3470 Aircraft Drive                ,                                   ,                                   ,Lakeland              ,FL,33801,6VAD,SO15,6VAD708B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N, ACTIVE            , 21-DEC-2017,  6848        ,  14-DEC-2020, 20, 0, 10, 31
723,AVOCET AVIATION SERVICES LLC                      ,2551 HELLCAT LANE                  ,                                   ,                                   ,SANFORD               ,FL,32773,6VAR,SO15,6VAR708B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 1-JUL-2011,  6440        ,  18-OCT-2020, 48, 1, 10, 68
724,HELICOMM AVIONICS                                 ,4860 Wing Way                      ,                                   ,                                   ,Paso Robles           ,CA,93446,6VHR,WP15,6VHR415D,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 6-MAR-2019, , , 1, 1, 0, 1
725,VORTEX AVIATION MAINTENANCE INC                   ,"LUIS MUNOZ MARIN, INT. AIRPORT     ","TERMINAL B, GATE B-9 LOWER LEVEL   ",                                   ,CAROLINA              ,PR,979,6VMR,SO63,6VMR174C,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 17-JUL-2013,  6774        ,  23-OCT-2019, 24, 0, 0, 24
726,VX AEROSPACE CORPORATION                          ,2080 HIGHWAY 70 EAST               ,                                   ,                                   ,MORGANTON             ,NC,28655,6VXR,EA68,6VXR839B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 6-OCT-2015, , , 0, 1, 6, 14
727,WORTHINGTON AVIATION PARTS INC                    ,5208 SOUTH 100TH EAST AVENUE       ,                                   ,                                   ,TULSA                 ,OK,74146,6WOR,SW15,6WOR213C,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N, ACTIVE            , 5-DEC-2013,  6554        ,  21-MAY-2020, 2, 5, 2, 20
728,WEST PALM AEROSPACE                               ,2717 NW 29TH TERRACE               ,                                   ,                                   ,OAKLAND PARK          ,FL,33311,6WPR,SO19,6WPR968B,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 23-JAN-2013,  6473        ,  7-FEB-2021, 0, 3, 1, 4
729,XRI TESTING                                       ,6300 W HOWARD STREET               ,                                   ,                                   ,NILES                 ,IL,60714,6XIR,GL03,6XIR129C,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N, ACTIVE            , 18-JUL-2013,  6547        ,  22-APR-2022, 0, 3, 0, 4
730,COASTAL WINDS AVIONICS                            ,8400 Airport Boulevard             ,                                   ,                                   ,Mobile                ,AL,36608,70AR,SO09,70AR637D,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 20-JUN-2019, , , 0, 2, 0, 2
731,TOMS AVIONICS & AC REPAIR INC                     ,1651 Sessums Drive                 ,Hanger C                           ,                                   ,Redlands              ,CA,92374,70MR,WP21,70MR471P,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 1-MAY-2019, , , 1, 0, 0, 1
732,"AVIATION MANAGEMENT & REPAIRS, INC.               ","2915 CURTIS KING BLVD., HANGAR #E-1",                                   ,                                   ,FORT PIERCE           ,FL,34946,714R,SO15,714R571C,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y, ACTIVE            , 22-SEP-2015, , , 3, 1, 6, 15
733,SKY AEROSPACE ENGINEERING INC                     ,4219 LINDY CIRCLE                  ,HANGAR 435                         ,                                   ,ORLANDO               ,FL,32827,722R,SO15,722R570C,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 22-OCT-2015,  6710        ,  2-SEP-2020, 16, 0, 8, 34
734,FREEDOM AIR INDUSTRIES INC                        ,7385 NW 54 Street                  ,                                   ,                                   ,Miami                 ,FL,33166,733R,SO19,733R647D,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 24-JAN-2020, , , 1, 0, 1, 3
735,ACCURATE AERO LLC                                 ,2183 Taxiway F Hanger A-1          ,                                   ,                                   ,Minden                ,NV,89423,74CR,WP19,74CR304D,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 27-MAR-2018, , , 2, 0, 1, 3
736,AERO ACCESSORIES AND REPAIR INC                   ,"15351 SW 29th Street ,Suite 600    ",                                   ,                                   ,Miramar               ,FL,33027,77AR,SO19,77AR783B,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N, ACTIVE            , 23-FEB-2012,  6467        ,  7-FEB-2021, 9, 7, 43, 110
737,CAVU AEROSPACE MAINTENANCE LLC                    ,605 East Challenger Street         ,                                   ,                                   ,Roswell               ,NM,88203,77CR,SW13,77CR559D,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 15-APR-2019, , , 8, 0, 6, 16
738,AEROTEAMS                                         ,521 SOUTH 48TH STREET              ,SUITE 104                          ,                                   ,TEMPE                 ,AZ,85281,78AR,WP07,78AR752B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 30-AUG-2010, , , 2, 2, 2, 6
739,A PROFESSIONAL AVIATION SERVICES CORP             ,6270 NW 37TH AVENUE                ,                                   ,                                   ,MIAMI                 ,FL,33147,79AR,SO19,79AR239B,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N, ACTIVE            , 25-AUG-2009,  6217        ,  1-SEP-2021, 3, 4, 15, 27
740,AERO-TECH SERVICES LLC                            ,5555 N. 119th St. W.               ,                                   ,                                   ,Maize                 ,KS,67101,7A0R,CE07,7A0R297C,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 28-MAR-2016, , , 0, 4, 0, 4
741,AERO FORCE BALLOONS LLC                           ,963 POUNDS LANE                    ,                                   ,                                   ,SIMPSONVILLE          ,KY,40067,7ABR,CE17,7ABR397B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 5-MAY-2009, , , 0, 4, 1, 4
742,APPEARANCE GROUP INC                              ,9424 E. 37TH ST. N SUITE 100       ,                                   ,                                   ,WICHITA               ,KS,67226,7AGR,CE07,7AGR730Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , 30-NOV-2007, , , 1, 25, 127, 150
743,ASCENT AVIATION SERVICES LLC                      ,6901 SOUTH PARK AVE                ,                                   ,                                   ,TUCSON                ,AZ,85756,7AHR,WP07,7AHR548B,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N, ACTIVE            , 9-NOV-2009,  5903        ,  1-OCT-2020, 44, 8, 28, 108
744,AIR CAPITOL JET LLC                               ,2414 S HOOVER                      ,                                   ,                                   ,WICHITA               ,KS,67215,7AIR,CE07,7AIR653Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N, ACTIVE            , ,  6069        ,  1-OCT-2021, 1, 0, 1, 2
745,GUARDIAN FLIGHT LLC                               ,5433 Saturn Drive Hanger A         ,                                   ,                                   ,Dallas                ,TX,75237,7AJ3,SW19,7AJ3299N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 20-DEC-2018, , , 4, 4, 1, 9
746,GUARDIAN FLIGHT LLC                               ,3474 Old International Airport Road,                                   ,                                   ,Anchorage             ,AK,99502,7AJ4,AL03,7AJ4299D,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 10-JUN-2019, , , 1, 3, 0, 3
747,GUARDIAN FLIGHT LLC                               ,150 LAGOON DRIVE                   ,                                   ,                                   ,HONOLULU              ,HI,96819,7AJD,WP13,7AJD299N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 18-JUN-2014, , , 2, 1, 0, 3
748,GUARDIAN FLIGHT LLC                               ,3909 Airport Drive Hangar S393     ,                                   ,                                   ,Ogden                 ,UT,84405,7AJR,NM07,7AJR299N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N, ACTIVE            , 27-MAY-2014, , , 11, 7, 0, 14
